feature,coef_point,ci95_lo,ci95_hi,p_boot
ret_vol_30,0.6739429225383725,0.14356895094867853,1.4297032567100056,0.024
ret_vol_7,0.42396651616452796,-0.10838830682514332,1.0562090573303207,0.16
volume_lag3,-0.35041182756716843,-0.6586519561338118,-0.06041691849354798,0.024
ret_lag1,-0.34729160525742336,-0.5897036147629555,-0.0855916737595694,0.012
ret_vol_14,-0.31168708449086147,-0.9968649029153769,0.24646555936928333,0.264
volume_vol_14,0.290441474333339,-0.9982779237133665,1.3524363747316617,0.716
ret_lag3,-0.25841633331315284,-0.5499676792954795,-0.0695442375203802,0.004
volume_vol_7,-0.22397782404445393,-1.0151759032350431,0.7245299797482315,0.676
ret_lag2,-0.060992540681052955,-0.3408859415830903,0.23782953717459135,0.648
volume_lag1,0.04459130818079037,-0.5203770796493158,0.5741327837734133,0.944
